,lat,lon,fecha_inicio,tipo_de_incendio,tipo_impacto,causa,year
120,20.66444444444444,-103.46944444444445,2012-05-01,Superficial,Minimo,Fumadores,2012
121,20.68352777777778,-103.6078611111111,2012-05-14,Superficial,Minimo,Actividades Agropecuarias,2012
122,20.731388888888887,-103.5961111111111,2012-06-02,Superficial,Minimo,Fumadores,2012
123,20.725888888888885,-103.55741666666667,2012-05-28,Superficial,Minimo,Fumadores,2012
124,20.695305555555557,-103.67694444444444,2012-05-31,Superficial,Minimo,Fumadores,2012
125,20.621222222222222,-103.46769722222223,2012-11-08,Superficial,Minimo,Quema De Basureros,2012
126,20.724055555555555,-103.559675,2012-12-17,Superficial,Minimo,Fumadores,2012
127,20.730444444444444,-103.57353888888889,2012-12-09,Superficial,Minimo,Fumadores,2012
128,20.72861111111111,-103.5225,2012-12-18,Superficial,Minimo,Fumadores,2012
129,20.717499999999998,-103.52166666666666,2013-01-10,Superficial,Minimo,Fumadores,2013
130,20.693305555555554,-103.62072222222221,2013-01-22,Superficial,Minimo,Fumadores,2013
131,20.730444444444444,-103.57616666666667,2013-01-26,Superficial,Minimo,Fumadores,2013
132,20.69638888888889,-103.60333333333332,2013-02-05,Superficial,Minimo,Actividades Agropecuarias,2013
133,20.70888888888889,-103.57555555555555,2013-02-06,Superficial,Minimo,Intencional,2013
134,20.608333333333334,-103.48138888888889,2013-02-07,Superficial,Minimo,Quema De Basureros,2013
135,20.729733333333332,-103.55230277777777,2013-02-07,Superficial,Minimo,Fumadores,2013
136,20.72472222222222,-103.57472222222222,2013-02-09,Superficial,Minimo,Fumadores,2013
137,20.717277777777777,-103.55327777777778,2013-02-11,Superficial,Minimo,Actividades Agropecuarias,2013
138,20.70138888888889,-103.55111111111111,2013-02-12,Superficial,Minimo,Actividades Agropecuarias,2013
139,20.651249999999997,-103.46916666666667,2013-02-13,Superficial,Minimo,Fumadores,2013
140,20.72138888888889,-103.58055555555555,2013-02-13,Superficial,Minimo,Fumadores,2013
141,20.65497222222222,-103.46583333333334,2013-02-14,Superficial,Minimo,Fumadores,2013
142,20.718055555555555,-103.56916666666666,2013-02-10,Superficial,Minimo,Fumadores,2013
143,20.65138888888889,-103.46611111111112,2013-02-15,Superficial,Minimo,Fumadores,2013
144,20.663777777777778,-103.45908333333334,2013-02-18,Superficial,Minimo,Fumadores,2013
145,20.717499999999998,-103.55277777777778,2013-02-21,Superficial,Minimo,Fumadores,2013
146,20.718833333333333,-103.5495,2013-02-22,Superficial,Minimo,Fumadores,2013
147,20.71361111111111,-103.6308611111111,2013-02-23,Superficial,Minimo,Fumadores,2013
148,20.71411111111111,-103.62463888888888,2013-03-02,Superficial,Minimo,Fumadores,2013
149,20.654722222222222,-103.68241666666667,2013-03-05,Superficial,Minimo,Fumadores,2013
150,20.728805555555553,-103.59502777777777,2013-03-05,Superficial,Minimo,Fumadores,2013
151,20.69677777777778,-103.56997222222222,2013-03-06,Superficial,Minimo,Fumadores,2013
152,20.70122222222222,-103.67647222222223,2013-03-07,Superficial,Minimo,Actividades Agropecuarias,2013
153,20.72063888888889,-103.61755555555555,2013-03-09,Superficial,Minimo,Fumadores,2013
154,20.72411111111111,-103.56008333333332,2013-03-09,Superficial,Minimo,Fumadores,2013
155,20.641305555555554,-103.65327777777779,2013-03-11,Superficial,Minimo,Fumadores,2013
156,20.722194444444444,-103.62172222222222,2013-03-14,Superficial,Minimo,Fumadores,2013
157,20.72058333333333,-103.51327777777777,2013-03-16,Superficial,Minimo,Fumadores,2013
158,20.704694444444442,-103.65119444444446,2013-03-18,Superficial,Minimo,Fumadores,2013
159,20.728527777777778,-103.55530555555555,2013-03-19,Superficial,Minimo,Fumadores,2013
160,20.642083333333332,-103.65383333333334,2013-03-22,Superficial,Minimo,Fumadores,2013
161,20.64136111111111,-103.65277777777779,2013-03-22,Superficial,Minimo,Fumadores,2013
162,20.72972222222222,-103.63722222222223,2013-03-23,Superficial,Minimo,Fumadores,2013
163,20.715,-103.57444444444444,2013-03-25,Superficial,Minimo,Fumadores,2013
164,20.6515,-103.46613888888889,2013-03-26,Superficial,Minimo,Fumadores,2013
165,20.718055555555555,-103.54972222222221,2013-03-30,Superficial,Minimo,Fumadores,2013
166,20.67291666666667,-103.67047222222223,2013-03-30,Superficial,Minimo,Fumadores,2013
167,20.72058333333333,-103.61858333333333,2013-03-30,Superficial,Minimo,Fumadores,2013
168,20.659555555555553,-103.68097222222222,2013-04-02,Superficial,Minimo,Fumadores,2013
169,20.659555555555553,-103.68097222222222,2013-04-02,Superficial,Minimo,Fumadores,2013
170,20.67075,-103.68308333333334,2013-03-31,Superficial,Minimo,Fumadores,2013
171,20.716472222222222,-103.52752777777778,2013-04-05,Superficial,Minimo,Fumadores,2013
172,20.56261111111111,-103.57788888888888,2013-04-07,Superficial,Minimo,Fumadores,2013
173,20.697222222222223,-103.67277777777778,2013-04-08,Superficial,Minimo,Fumadores,2013
174,20.71719444444444,-103.56008333333332,2013-04-11,Superficial,Minimo,Fumadores,2013
175,20.627472222222224,-103.68233333333333,2013-04-22,Superficial,Minimo,Fumadores,2013
176,20.72161111111111,-103.54322222222223,2013-04-23,Superficial,Minimo,Fumadores,2013
177,20.560972222222222,-103.51369444444444,2013-04-25,Superficial,Minimo,Actividades Agropecuarias,2013
178,20.730833333333333,-103.55447222222222,2013-04-27,Superficial,Minimo,Limpia De Derecho De Vía,2013
179,20.71188888888889,-103.53083333333333,2013-04-28,Superficial,Minimo,Fogatas,2013
180,20.725277777777777,-103.50916666666667,2013-05-10,Superficial,Minimo,Intencional,2013
181,20.727777777777778,-103.53916666666666,2013-05-11,Superficial,Minimo,Fumadores,2013
182,20.726166666666664,-103.53794444444445,2013-05-14,Superficial,Minimo,Fumadores,2013
183,20.708583333333333,-103.57530555555554,2013-05-14,Superficial,Minimo,Intencional,2013
184,20.70583333333333,-103.57027777777778,2013-05-15,Superficial,Minimo,Intencional,2013
185,20.707583333333332,-103.57502777777778,2013-05-16,Superficial,Minimo,Intencional,2013
186,20.701638888888887,-103.57322222222221,2013-05-17,Superficial,Minimo,Intencional,2013
187,20.70938888888889,-103.57516666666666,2013-05-18,Superficial,Minimo,Intencional,2013
188,20.69986111111111,-103.65008333333334,2013-05-19,Superficial,Minimo,Intencional,2013
189,20.703722222222222,-103.57369444444444,2013-05-22,Superficial,Minimo,Intencional,2013
190,20.71313888888889,-103.57530555555554,2013-05-25,Superficial,Minimo,Intencional,2013
191,20.72986111111111,-103.53513888888888,2013-05-30,Superficial,Minimo,Fumadores,2013
192,20.708194444444445,-103.57855555555555,2013-05-30,Superficial,Minimo,Intencional,2013
193,20.716055555555556,-103.59755555555554,2013-06-02,Superficial,Minimo,Actividades Agropecuarias,2013
194,20.716055555555556,-103.59755555555554,2013-06-02,Superficial,Minimo,Actividades Agropecuarias,2013
195,20.728888888888886,-103.52805555555555,2013-06-05,Superficial,Minimo,Quema De Basureros,2013
196,20.672250000000002,-103.67391666666667,2013-06-07,Superficial,Minimo,Fumadores,2013
197,20.721277777777775,-103.53722222222223,2013-06-13,Superficial,Minimo,Quema De Basureros,2013
198,20.71486111111111,-103.61244444444444,2013-06-19,Superficial,Minimo,Quema De Basureros,2013
199,20.716527777777777,-103.61175,2013-06-19,Superficial,Minimo,Quema De Basureros,2013
200,20.716555555555555,-103.61186111111111,2013-06-19,Superficial,Minimo,Quema De Basureros,2013
201,20.728399999999997,-103.55751111111111,2013-12-09,Superficial,Minimo,Fumadores,2013
202,20.730055555555555,-103.57404722222222,2013-12-20,Superficial,Minimo,Fumadores,2013
203,20.728388888888887,-103.55825,2013-12-24,Superficial,Minimo,Fumadores,2013
204,20.696805555555557,-103.57930555555555,2014-01-30,Superficial,Minimo,Fogatas,2014
205,20.728399999999997,-103.55761111111111,2014-01-01,Superficial,Minimo,Fumadores,2014
206,20.728055555555553,-103.55666666666666,2014-01-23,Superficial,Minimo,Fumadores,2014
207,20.725861111111108,-103.55738888888888,2014-02-12,Superficial,Minimo,Fumadores,2014
208,20.72636111111111,-103.55727777777777,2014-02-14,Superficial,Minimo,Intencional,2014
209,20.583333333333332,-103.66116666666667,2014-02-16,Superficial,Minimo,Actividades Agropecuarias,2014
210,20.67388888888889,-103.58108333333332,2014-02-18,Superficial,Minimo,Fogatas,2014
211,20.723611111111108,-103.50888888888889,2014-02-10,Superficial,Minimo,Fumadores,2014
212,20.698722222222223,-103.66702777777778,2014-02-28,Superficial,Minimo,Actividades Agropecuarias,2014
213,20.674861111111113,-103.67830555555555,2014-02-28,Superficial,Minimo,Quema De Basureros,2014
214,20.72808333333333,-103.56166666666667,2014-03-03,Superficial,Minimo,Actividades Agropecuarias,2014
215,20.722388888888887,-103.56130555555555,2014-03-05,Superficial,Minimo,Actividades Agropecuarias,2014
216,20.610916666666668,-103.65255555555557,2014-03-11,Superficial,Minimo,Actividades Agropecuarias,2014
